Address,Guide price,Hometrack valuation,Guide +20%,Status
"27 West Road, Shoeburyness, Southend-on-Sea, Essex, SS3 9DR",100000,218000,120000,Not in October catalogue
"Unit SU8, 5 Jubilee Way, Scunthorpe, North Lincolnshire, DN15 6RB",95000,N/A - retail,114000,Not in October catalogue
"9 College Walk, Rotherham, South Yorkshire, S60 1QB",95000,N/A - retail,114000,Not in October catalogue
"94A Middleton Grange Shopping Centre, Hartlepool, Cleveland, TS24 7RW",95000,N/A - retail,114000,Not in October catalogue
"2 Garfield Street, Northampton, Northamptonshire, NN2 6NW",95000,250000,114000,Not in October catalogue
"29A High Street, March, Cambridgeshire, PE15 0XA",95000,178000,114000,Not in October catalogue
"Flat 2, 201 Waldegrave Road, Teddington, Richmond upon Thames, TW11 8LX",95000,362000,114000,Not in October catalogue
"Apartment 43, 18 Church Street, Manchester, Lancashire, M4 1PN",90000,193000,108000,Not in October catalogue
"29 Hervey Street, Lowestoft, Suffolk, NR32 2JG",75000,153000,90000,Not in October catalogue
"36 Hobart Road, Weston-super-Mare, Avon, BS23 4QN",70000,129000,84000,Not in October catalogue
"4 Nairn Court, Dock Road, Tilbury, Essex, RM18 7BY",60000,149000,72000,Not in October catalogue
"9A Battle Hill, Hexham, Northumberland, NE46 1BA",50000,N/A,60000,Not in October catalogue
"106 High Street, Redcar, Cleveland, TS10 3DL",50000,82000,60000,Not in October catalogue
"The Vaults, Manor Road, Chatham, Kent, ME4 6HW",50000,379000,60000,Not in October catalogue
"Land to the rear of 21 Greenfield Road, Pulloxhill, Bedford, Bedfordshire, MK45 5EZ",50000,N/A - land,60000,Not in October catalogue
"Flat 3, 55 West Avenue, Filey, North Yorkshire, YO14 9AX",50000,130000,60000,Not in October catalogue
"65 Reeves Road, Derby, Derbyshire, DE23 8JF",45000,87500,54000,Not in October catalogue
"4 Milburn Street, Crook, County Durham, DL15 9DY",40000,92500,48000,Not in October catalogue
"Land to the rear of 141 Parsonage Road, Rainham, Essex, RM13 9LB",35000,N/A - land,42000,Not in October catalogue
"49 Exmouth Road, Great Yarmouth, Norfolk, NR30 3DP",30000,81000,36000,Not in October catalogue
"34 Murton Lane, Easington Lane, Houghton Le Spring, Tyne and Wear, DH5 0NB",30000,40000,36000,Not in October catalogue
"Rear of 292 Weelsby Street, Grimsby, North East Lincolnshire, DN32 8AB",25000,N/A - workshop,30000,Not in October catalogue
"108 High Street, Redcar, Cleveland, TS10 3DL",25000,82000,30000,Not in October catalogue
"4 Highfield Road, Newbold, Derbyshire, S41 7EY",25000,310000,30000,Not in October catalogue
"Flat 110, 2 Moorfields, Liverpool, Merseyside, L2 2BS",20000,90000,24000,Not in October catalogue
"Residential Flat, 9A Battle Hill, Hexham, Northumberland, NE46 1BA",20000,64500,24000,Not in October catalogue
"Flat 29 The Old School Rooms, Great Moor Street, Bolton, Lancashire, BL1 1NR",20000,112000,24000,Not in October catalogue
"First & Second Floor, 5 Cornmarket, Penrith, Cumbria, CA11 7DA",20000,136000,24000,Not in October catalogue
"2 Broad Street, St. Columb, Cornwall, TR9 6AS",15000,20500,18000,Not in October catalogue
"Land at Green Lane, Warlingham, Surrey, CR6 9EE",15000,N/A - land,18000,Not in October catalogue
"Unit 1 Masonic Hall, 64 Briggate, Brighouse, Calderdale, HD6 1EF",9000,N/A - commercial,10800,Not in October catalogue
"Unit 3, 6A Alma Street, Taunton, Somerset, TA1 3AH",5000,N/A - commercial,6000,Not in October catalogue
"18 Farringford Court, 1 Avenue Road, Lymington, Hampshire, SO41 9PA",5000,150000,6000,Not in October catalogue
"Flat A9-D Leighton Street, Leighton Street, Preston, Lancashire, PR1 8RH",5000,N/A,6000,Not in October catalogue
"Plot 8 Boreham Place, New England, Halstead, Essex, CO9 4BD",5000,N/A - plot,6000,Not in October catalogue
"Plot 4 Station Road, Shirehampton, Bristol, Avon, BS11 9XA",5000,N/A - plot,6000,Not in October catalogue
"Garage and Land to the Rear of 16 Stanley Park Drive, Wembley, Middlesex, HA0 1SG",5000,N/A - garage,6000,Not in October catalogue
"Garage at Seddon Court, Hepplewhite Close, Crawley, West Sussex, RH11 9LF",5000,N/A - garage,6000,Not in October catalogue
"Plot 2 Abbey Street, Ickleton, Saffron Walden, Essex, CB10 1SS",3000,N/A - plot,3600,Not in October catalogue
"Compound 1, Par Moor Road, Par, Cornwall, PL24 2SQ",3000,N/A - compound,3600,Not in October catalogue
"Flat 201 Lemare Lodge, Fair Acres, Bromley, Kent, BR2 9BS",,226000,,Not in October catalogue
