lot,address,guide_price,hometrack,serco_status,accepted_offer,status,confidence,site_lot,site_guide,site_entry
70A,"94A Middleton Grange Shopping Centre, Hartlepool, Cleveland, TS24 7RW",£95000+,N/A - retail,Outside region,,still-available,postcode + number,360550,Please refer to auctioneer for more information,"360550 | 94A Middleton Grange Shopping Centre, Hartlepool, Cleveland, TS24 7RW | Please refer to auctioneer for more information"
71,"17-19 Umberston Street, Tower Hamlets, London, E1 1PY",£275000+,N/A - commercial,Outside region,,still-available,postcode + number,359974,Please refer to auctioneer for more information,"359974 | 17-19 Umberston Street, Tower Hamlets, London, E1 1PY | Please refer to auctioneer for more information"
72,"Rear of 292 Weelsby Street, Grimsby, North East Lincolnshire, DN32 8AB",£25000-£35000,N/A - workshop,Not on Serco list,,still-available,postcode only,355241,Please refer to auctioneer for more information,"355241 | Rear of 292 Weelsby Street, Grimsby, North East Lincolnshire, DN32 8AB | Please refer to auctioneer for more information"
73,"106 High Street, Redcar, Cleveland, TS10 3DL",£50000-£80000,£82000,Outside region,,october-catalogue,postcode + number,367101,"£50,000-£70,000","367101 | 106 High Street, Redcar, Cleveland, TS10 3DL | £50,000-£70,000"
75A,"Unit 1 Masonic Hall, 64 Briggate, Brighouse, Calderdale, HD6 1EF",£9000+,N/A - commercial,Outside region,,NOT LISTED,postcode absent from dumps,,,
76,"108 High Street, Redcar, Cleveland, TS10 3DL",£25000-£50000,£82000,Outside region,£50000,NOT LISTED,different unit at TS103DL (108 not offered),,,
79,"Sandly Court, 39 Queens Road, Southport, Merseyside, PR9 9EX",£320000+,N/A,CLOSED + NW paused,,october-catalogue,postcode + number,365585,"£320,000+","365585 | Sandly Court, 39 Queens Road, Southport, Merseyside, PR9 9EX | £320,000+"
80,"Unit 3, 6A Alma Street, Taunton, Somerset, TA1 3AH",£5000+,N/A - commercial,Outside region,,still-available,postcode + number,361603,Please refer to auctioneer for more information,"361603 | Unit 3, 6A Alma Street, Taunton, Somerset, TA1 3AH | Please refer to auctioneer for more information"
81,"1 Hunter House, Hunter Road, Guildford, Surrey, GU1 3LQ",£140000+,£337000,Outside region,£160000,NOT LISTED,postcode absent from dumps,,,
82,"Apartment 43, 18 Church Street, Manchester, Lancashire, M4 1PN",£90000+,£193000,CLOSED + NW paused,£120000,NOT LISTED,postcode absent from dumps,,,
83,"Flat 17 Forest Croft, Taymount Rise, Forest Hill, London, SE23 3UN",£200000+,£256000,Outside region,,still-available,postcode + number,360076,Please refer to auctioneer for more information,"360076 | Flat 17 Forest Croft, Taymount Rise, Forest Hill, London, SE23 3UN | Please refer to auctioneer for more information"
84,"52 Bushey Grove Road, Bushey, Hertfordshire, WD23 2JJ",£875000+,£875000,Not on Serco list,,still-available,postcode + number,357630,Please refer to auctioneer for more information,"357630 | 52 Bushey Grove Road, Bushey, Hertfordshire, WD23 2JJ | Please refer to auctioneer for more information"
85,"Flat 4 Maple Court, 1 Lower Coombe Street, Croydon, Surrey, CR0 1AA",£150000+,£248000,Outside region,,NOT LISTED,postcode absent from dumps,,,
86,"65 Reeves Road, Derby, Derbyshire, DE23 8JF",£45000+,£87500,Serco region - VERIFY,£85000,NOT LISTED,postcode absent from dumps,,,
87,"325A London Road, Westcliff-on-Sea, Essex, SS0 7BX",£160000+,£161000,Serco region - VERIFY,,NOT LISTED,postcode absent from dumps,,,
87 (2),"Flat 91 Celeste House, 1 Caversham Road, Colindale, London, NW4 4DT",£500000+,£693000,Outside region,,NOT LISTED,postcode absent from dumps,,,
90,"The Vaults, Manor Road, Chatham, Kent, ME4 6HW",£50000-£110000,£379000,Outside region,£175000,NOT LISTED,postcode absent from dumps,,,
92,"10 Eider Close, Hayes, Middlesex, UB4 9TD",£415000+,£458000,Outside region,,october-catalogue,postcode + number,365497,"£395,000+","365497 | 10 Eider Close, Hayes, Middlesex, UB4 9TD | £395,000+"
94,"Flat 11 Regatta Point, 1 Manilla Street, Canary Wharf, London, E14 8JZ",£225000+,£303000,Outside region,,october-catalogue,postcode + number,366068,"£180,000+","366068 | Flat 11 Regatta Point, 1 Manilla Street, Canary Wharf, London, E14 8JZ | £180,000+"
95,"Flat 3 Regatta Point, 1 Manilla Street, Canary Wharf, London, E14 8JZ",£275000+,£370000,Outside region,,october-catalogue,postcode + number,366070,"£225,000+","366070 | Flat 3 Regatta Point, 1 Manilla Street, Canary Wharf, London, E14 8JZ | £225,000+"
97,"104 Graveney Road, Tooting, London, SW17 0EH",£775000+,£900000,Outside region,,still-available,postcode + number,355067,Please refer to auctioneer for more information,"355067 | 104 Graveney Road, Tooting, London, SW17 0EH | Please refer to auctioneer for more information"
98,"196A St. Ann's Hill, Wandsworth, London, SW18 2RT",£600000+,£815000,Outside region,,still-available,postcode + number,355063,Please refer to auctioneer for more information,"355063 | 196A St. Ann's Hill, Wandsworth, London, SW18 2RT | Please refer to auctioneer for more information"
99,"23 Selkirk Road, Tooting, London, SW17 0ER",£775000+,£965000,Outside region,,still-available,postcode + number,355068,Please refer to auctioneer for more information,"355068 | 23 Selkirk Road, Tooting, London, SW17 0ER | Please refer to auctioneer for more information"
100,"36 Hobart Road, Weston-super-Mare, Avon, BS23 4QN",£70000-£115000,£129000,Outside region,£115000,NOT LISTED,postcode absent from dumps,,,
101,"49 Exmouth Road, Great Yarmouth, Norfolk, NR30 3DP",£30000-£55000,£81000,OPEN,£55000,still-available,postcode + number,361410,Please refer to auctioneer for more information,"361410 | 49 Exmouth Road, Great Yarmouth, Norfolk, NR30 3DP | Please refer to auctioneer for more information"
102,"3 Dane Court, College House, St Albans, Hertfordshire, AL1 5NX",£110000+,£174000,Not on Serco list - VERIFY,,NOT LISTED,postcode absent from dumps,,,
103,"71 Fakes Road, Hemsby, Great Yarmouth, Norfolk, NR29 4JL",£160000+,£241000,OPEN,,still-available,postcode + number,359976,Please refer to auctioneer for more information,"359976 | 71 Fakes Road, Hemsby, Great Yarmouth, Norfolk, NR29 4JL | Please refer to auctioneer for more information"
104,"Flat 41 Latchingdon Court, 26 Forest Road, Walthamstow, London, E17 6JT",£180000+,£333000,Outside region,£200000,NOT LISTED,postcode absent from dumps,,,
105,"2 Garfield Street, Northampton, Northamptonshire, NN2 6NW",£95000-£145000,£250000,Serco region - VERIFY,£145000,NOT LISTED,postcode absent from dumps,,,
105A,"The Bungalow, 1 Chapel Lane, Maidford, Towcester, Northamptonshire, NN12 8HU",£100000+,£302000,Serco region - VERIFY,£110000,NOT LISTED,postcode absent from dumps,,,
106,"29 The Crescent, Eastbourne, East Sussex, BN20 8PX",£200000+,£203000,Outside region,,NOT LISTED,postcode absent from dumps,,,
108,"21 Greenfield Road, Pulloxhill, Bedford, Bedfordshire, MK45 5EZ",£200000+,£366000,Not on Serco list,£250000,still-available,postcode + number,358122,Please refer to auctioneer for more information,"358122 | 21 Greenfield Road, Pulloxhill, Bedford, Bedfordshire, MK45 5EZ | Please refer to auctioneer for more information"
109,"Land to the rear of 21 Greenfield Road, Pulloxhill, Bedford, Bedfordshire, MK45 5EZ",£50000+,N/A - land,Not on Serco list,,still-available,AMBIGUOUS - 2 lots share MK455EZ,358122,Please refer to auctioneer for more information,"358122 | 21 Greenfield Road, Pulloxhill, Bedford, Bedfordshire, MK45 5EZ | Please refer to auctioneer for more information"
111,"29A High Street, March, Cambridgeshire, PE15 0XA",£95000+,£178000,OPEN,NO OFFERS,still-available,postcode + number,358027,Please refer to auctioneer for more information,"358027 | 29A High Street, March, Cambridgeshire, PE15 0XA | Please refer to auctioneer for more information"
112,"Flat 105, 2 Moorfields, Liverpool, Merseyside, L2 2BS",£20000-£40000,£90000,CLOSED + NW paused,£40000,october-catalogue,postcode + number,365482,"£20,000-£40,000","365482 | Flat 105, 2 Moorfields, Liverpool, Merseyside, L2 2BS | £20,000-£40,000"
113,"Flat 110, 2 Moorfields, Liverpool, Merseyside, L2 2BS",£20000-£40000,£90000,CLOSED + NW paused,£40000,NOT LISTED,different unit at L22BS (110 not offered),,,
114,"Residential Flat, 9A Battle Hill, Hexham, Northumberland, NE46 1BA",£20000-£40000,£64500,Outside region,NO OFFERS,NOT LISTED,postcode absent from dumps,,,
115A,"27 West Road, Shoeburyness, Southend-on-Sea, Essex, SS3 9DR",£100000+,£218000,Serco region - VERIFY,£110000,NOT LISTED,postcode absent from dumps,,,
117,"Flat 3, 9 Queensland Road, Highbury, London, N7 7FH",£145000+,£297000,Outside region,NO OFFERS,still-available,postcode + number,359566,Please refer to auctioneer for more information,"359566 | Flat 3, 9 Queensland Road, Highbury, London, N7 7FH | Please refer to auctioneer for more information"
119,"Flat 29 The Old School Rooms, Great Moor Street, Bolton, Lancashire, BL1 1NR",£20000-£30000,£112000,CLOSED + NW paused,£30000,still-available,postcode + number,350867,Please refer to auctioneer for more information,"350867 | Flat 29 The Old School Rooms, Great Moor Street, Bolton, Lancashire, BL1 1NR | Please refer to auctioneer for more information"
120,"Flat 23, 2 Manilla Street, Canary Wharf, London, E14 8GB",£350000+,£534000,Outside region,,still-available,postcode + number,357096,Please refer to auctioneer for more information,"357096 | Flat 23, 2 Manilla Street, Canary Wharf, London, E14 8GB | Please refer to auctioneer for more information"
120A,"21 Preston Lane, Lyneham, Chippenham, Wiltshire, SN15 4AR",£200000+,£252000,Outside region,,still-available,postcode + number,362210,Please refer to auctioneer for more information,"362210 | 21 Preston Lane, Lyneham, Chippenham, Wiltshire, SN15 4AR | Please refer to auctioneer for more information"
